Gene1,Gene2,Label
HOXA4,PKD1,1
CHRNB3,XYLT2,0
POLB,RAD54L,1
TYR,CDH18,0
MATK,CDC27,1
DDIT3,MAFA,1
TINAG,PCDHAC2,1
SLC37A2,ATP6V1H,0
CENPC,LRRTM3,0
PRR11,LSM4,0
RABL2B,IFNA5,0
SCUBE1,ABCC5,0
RHOXF1,NUMA1,0
CEACAM3,SLC25A12,0
AVP,CCL16,1
ADGRE1,PCDHA11,1
FEN1,ACOT1,0
DSC2,IGSF1,1
RNASEH2A,ME1,0
TUSC3,PLK5,0
MCEMP1,TOP3A,0
PIBF1,OPN1MW2,0
SULT6B1,CYP11A1,0
SPEG,FAM92A1,0
AARS2,FGG,0
SHPRH,FMR1,0
PDC,TSHB,1
RELA,CCL2,1
GH2,TIMM10B,0
MAEA,TCP11,1
SQRDL,ZNF425,0
GRAP,AMH,1
HERC5,CCNT1,1
HBA1,HOXA5,0
GDF11,HCK,1
GJA4,TUBB3,0
MRGPRX2,MRPS5,0
CXCR2,RNASE2,1
MYEF2,CCNT2,1
GRB2,PCSK2,1
CWC25,PRKD3,0
FKTN,APLP1,1
MAP2K1,CD9,1
FES,REG1B,1
ZMYND11,TAL1,1
TARDBP,TMCO1,0
SDHAF4,GNG7,0
MOGAT3,IGKV2-28,0
MOG,SNTG2,1
TAS2R8,MITD1,0
TMTC2,PARP1,0
NRF1,SUPT3H,1
CCL26,GDF15,1
MID2,PATZ1,0
ACTR3,ARHGDIB,1
LIN9,SLC5A10,0
ARL8A,PABPN1,0
SLC32A1,APC,0
ACAA1,PHKA2,1
TOM1L2,IL15,0
NA,NTNG2,0
ALDH3A2,NPAS2,1
SNAPC5,KAT5,1
PHLDA1,OR6K6,0
TCN1,AGXT,0
CCL5,CD36,1
CEACAM1,CERS6,0
MMP13,OLR1,1
FGFR3,NMI,1
VHL,CDK10,1
SMARCD2,KLF7,1
OR52A1,SEMA3C,0
METAP1D,HIPK3,0
DMAP1,SLC29A1,0
GTF2E1,MED1,1
OR6C6,CSF3R,0
SRCAP,NR2F2,1
LSP1,KRT81,0
OPRK1,PTAFR,1
ZAP70,CDH10,0
UGT2A1,CHD9,0
LALBA,TNFSF10,1
INHBA,NRIP1,1
KCNJ2,HTR6,0
TMED5,RACK1,0
ADRM1,CD84,0
GREM1,HMGA2,1
SNF8,NRF1,1
MAT2A,IGSF3,0
OPA1,BRE,1
MYH2,CDK6,0
TMEM179B,IGHV3-13,0
APOBEC2,NNT,0
FABP4,SPIN1,0
ACAT2,OSBPL1A,0
SLC1A3,NPFF,1
KHDRBS3,ADAM18,1
S100B,FSCN1,1
DCTN1,PDE8A,0
SCML2,CST6,1
PCDHB6,CD9,1
IGLV3-25,LMTK3,0
BMP8A,CASP14,0
CXXC4,MRPS31,0
KCNIP1,PI4KA,1
MIR23B,DDX5,0
FAT1,PTPRF,1
KRTAP21-2,MYCNOS,0
KRT16,REG1B,1
SCUBE1,CRX,0
OR51A2,ELK4,0
IRF2,TNFSF9,1
RRH,UCN,1
CHRM1,ACHE,1
IL12RB2,PRL,1
IGSF6,VIPR1,1
CCL26,CEBPB,1
PCDHAC1,SELL,1
DDX19B,ABI2,0
IZUMO1,PCDH7,0
FES,HOXC6,1
TIAL1,TRADD,1
FCGR2B,FCGR3A,1
PDZK1,METTL7A,0
ELAVL1,CCL3L3,0
CHST4,PTAFR,1
G6PC3,ABI1,0
FRK,PRKG2,1
LIAS,SRD5A2,0
PIGU,NOD1,0
SERPINF1,SMO,1
HIST1H3A,APOBEC3D,0
OR51L1,COX5B,0
EIF2B4,PDCD7,0
CORIN,MMP12,1
UBE2I,EREG,0
RFX1,IL18RAP,1
COPG2,DLST,0
ZNF425,MIR711,0
SH2B3,PYGM,0
ITGAD,SYT11,0
GABPB1,KCNIP3,1
SLC25A29,TMEM219,0
CCL26,TEK,1
IFI30,AMOT,0
GTF2B,SLC7A8,0
ERCC5,SNAI1,0
NPPC,OR2V2,0
STK38,MKNK1,1
ACOT11,ASIC1,0
SMURF2,UBE2H,1
PADI1,ZNF365,0
PITRM1,ASTL,1
RABGAP1,CYP3A4,0
KRT24,PRKCH,0
USP25,MMP23B,1
KIR2DS1,DAOA,0
GRAMD4,SPRR1A,0
FPR2,AMFR,1
ZNF443,TNFSF10,1
CRYBA1,VSX1,1
PTEN,CREG1,1
SASS6,P2RY11,0
SLC35A1,SLC5A2,1
RGS1,DUSP1,0
GDF11,JAK2,1
RARRES1,CDK10,1
NTSR1,PCDHB3,1
OR4E2,RDH10,0
COPS4,CEACAM5,0
OR8K5,EIF3E,0
NKX6-1,TAF6L,0
HCFC2,GPR3,0
COL5A1,RRS1,0
COL9A1,AES,1
SLC35B2,GPR32,0
HAO2,IGHV4-59,0
DBF4,UBE2V2,1
FGF11,CD33,1
DPP8,RAG1,1
LCE1A,CDC42EP3,0
OR51V1,USP20,0
RP2,DNMT3B,0
CEP164,MYB,0
UBE2N,ADAMTS4,1
OSBPL9,LMOD1,0
SLC22A9,JADE1,0
CALY,SYN2,1
WBP4,OR6C70,0
DBP,JUND,1
GP9,ATF1,0
TMEM17,FGF8,0
IGSF6,CCL27,1
CCL19,SEMA7A,1
IL1RAP,VAPB,1
LTA,ASH1L,1
CMPK2,DNAJC19,0
ABCC9,DUSP16,0
KCNQ3,ACTR1B,0
FOSB,TNFRSF17,1
PIM2,CCKBR,1
NKX6-3,SMPX,0
FAS,MAP3K10,1
CORIN,APOA5,0
CSF1R,LRP1,1
CLEC4E,GPR34,0
CDX1,GNPAT,1
CRYBA1,CUEDC2,0
CD160,MXD1,1
BORCS6,METTL21A,0
ARHGAP23,OR8J1,0
SLITRK1,TAP2,0
MBD5,GCLM,0
THUMPD1,AGO2,0
PDIA5,NECAB3,0
TMEM147,PRKG1,0
SSX2IP,PCF11,0
FLRT1,CENPJ,0
CST2,RIT2,0
RAB32,GPR139,0
SHOX2,RASGRP1,0
QTRT2,CIB2,0
RYBP,PRELID1,1
MED6,MED21,1
FTH1,IL1A,1
DLG4,CBLN1,1
PRKCI,CYTH1,1
AVIL,APBA2,1
HTR1D,CLK2,0
CBX6,HTT,0
ABCA5,CDH12,0
SEC24B,CDIPT,0
IFT43,ESRRB,0
MX1,FOXN1,1
BCL2L10,LCK,1
PLEKHM2,APITD1,0
OR8G2,CCL3L3,0
NEK2,CDK13,1
IFT122,PRICKLE1,0
KRT13,EP300,0
WDR3,ICAM2,0
LPAR3,SYN2,1
TMEM179B,HMGCS2,0
TMEM179B,PGAM2,0
EXOC7,THEG,0
METAP1,ERN1,0
CEACAM4,ATP8B2,0
HEXIM1,ZNF148,1
AASDHPPT,CTSL,0
A2ML1,DTYMK,0
CASP3,MBTPS1,1
CDK3,AREG,1
STAG3,PHF2,0
CPN1,GNL3,0
FAAP20,PDE6G,0
MEP1A,VIPR1,1
PEPD,ATP6AP2,0
SIK3,SLITRK1,0
OPRL1,PROK2,1
MST1R,AKAP4,1
CDKN2C,MNT,1
CDK13,GLP2R,1
CCL21,LCLAT1,0
MTCP1,CDK17,1
PASK,EGR3,0
SYNCRIP,SNRPG,1
HAL,OR52K1,0
ABCA13,XAB2,0
UQCRQ,FOXJ1,0
CELF2,DDX54,1
ALDH3A1,LOXL1,1
DSPP,SMARCD2,0
AGPAT2,GRIN1,0
LTBR,GCLM,0
PANX1,NLGN3,0
TARDBP,GLI2,1
CTSO,CYP4F8,0
TUBGCP2,PTCH2,1
HSF4,NFKB2,1
ATP8A2,RXFP2,0
MLNR,NTSR1,1
CRB1,TSHR,1
CST9,CXCL6,0
SMARCD1,SOX12,1
DLX5,EPHB1,1
MED16,ARID1A,1
SPIDR,GAGE1,0
KCNMB3,KCNK1,1
WFDC2,PRSS2,1
ANXA1,ARHGDIB,1
FGF8,MNT,1
HADHA,ACACB,0
MEMO1,BACE2,0
RNF182,TIRAP,0
PHLPP2,ERCC8,0
CLSPN,OR2AG1,0
MATK,ADH4,0
PFDN6,TCEB1,0
E2F4,BCAR3,1
CEACAM4,SOX8,0
ELF5,PLK1,1
GADL1,CYB5R4,0
APOM,RUNX1T1,1
FCER1A,GGT1,0
HCLS1,RPS6KA4,1
GGPS1,CDH2,0
FSCN2,IMPG2,1
MIR514A1,TMED1,0
FSCN2,HOXC6,0
SCN5A,SLMAP,1
OR52E4,PHKA2,0
ACSL1,SCTR,1
FFAR2,MLN,1
ARFIP2,RAB6C,1
HTR3D,CDK8,0
KCNC2,MARS,0
PHEX,WISP1,1
KRTAP6-2,ASXL1,0
CSF1R,MAPRE1,1
KRTAP6-3,ADPRH,0
COL4A3,PRKRA,1
NRBP1,ZW10,1
RIT2,CPNE6,1
NFIL3,STAT1,1
SLAMF6,KCNJ6,0
GABRB1,SLC13A4,0
MYF6,SMARCB1,1
KLRA1P,IFNA2,1
F2R,SST,0
CRYBB2,CNGB3,1
SMAD3,POLR2E,1
SIRPB1,MIF,1
MYO7A,NME1,0
SNF8,MNAT1,1
ITGA9,ART3,0
DCK,GSS,0
APPL2,TGFBI,1
PGC,HTR1E,0
FURIN,FGFBP1,1
RELA,BCL6,1
SMC4,ELOVL1,0
CDK3,LMO1,1
CHD4,TCF12,1
CSF3R,FAH,0
PIM2,ELF5,1
HACE1,AMPD3,0
SSB,AIFM3,0
SYT9,ILF3,0
TAAR9,ADORA2B,1
PAGR1,TRAF3IP2,0
KLRB1,PLCB4,0
NPR1,SERPINF1,1
RPL4,CYP3A4,0
DMTN,PSMB6,0
CHST4,ZAP70,1
FGF2,LCK,1
OR7D2,DDC,0
NEU4,RBM26,0
NUDT13,CSNK2A1,0
COL4A3,ATP6V0A4,1
SHTN1,OR10H1,0
SKP2,TSPY1,1
FYB,ABI3,0
STYX,DBF4,0
CNGB3,PROCR,0
TCOF1,MAP3K2,0
MNT,SUFU,1
PIH1D3,AVL9,0
CEBPB,CHUK,1
CENPK,SNRNP27,0
FSHR,FFAR3,1
CLK1,SURF1,0
NUP210,COPS6,0
ZNF146,ZNHIT3,1
KRTAP22-1,RAD51AP1,0
HSPB8,PSMA1,0
LYPD5,APPL1,0
FCGR1B,KPNA4,0
HOXC6,MED26,1
ELF3,MAX,1
MCRS1,FZR1,1
B3GALNT2,ST3GAL2,0
SLC35F3,PILRA,0
CSPG5,CYP46A1,1
MIR26A2,ART4,0
MYO6,USP24,0
MYO7A,CNGB3,1
IFNA17,KPNB1,0
OPN3,HTR5A,1
PEX13,CCR3,0
CHRM3,FKTN,1
NOP2,PPP2R1A,1
HOGA1,MC3R,0
PNN,CCL2,1
TENM1,SEMA4F,1
CDH11,MCM3AP,0
CYP24A1,WRNIP1,0
TCERG1,KDM5A,1
TCERG1,POLR2L,1
VTI1B,AREG,1
CCL21,SEMA5A,1
NFAT5,NPHP1,1
SERPINF1,PLXNA1,1
PPARD,FMO3,0
GJA1,KCNH2,1
AGRP,COMMD6,0
BCL2A1,SON,1
LCK,CORO2A,1
PDCD1,DDX41,1
ADRA1D,LGI1,1
MXD1,FSCN1,1
CCL27,VIPR1,1
CLN8,FZD9,1
RIMKLA,MAGEA10-MAGEA5,0
DEFB127,HAL,0
LILRB2,LY75,1
KLF10,WARS,1
HLA-H,ANAPC13,0
PA2G4,FSCN1,1
UNC13D,CEACAM1,0
MYO1E,KCNH2,0
SNRNP35,UBE2O,0
CXCR1,RNASE2,1
DUSP23,TOE1,0
CRYBA1,TACSTD2,1
LYVE1,VIM,1
TRAIP,OR2W3,0
CYR61,ZFP36L2,1
IGF2,PDPK1,1
NAXD,HS3ST5,0
ABLIM1,PAX6,1
CGRRF1,POU1F1,1
ZNF76,GATA5,0
DSCAM,IGSF1,1
IL1A,CBFA2T3,1
UGT2A1,VDR,0
CLK1,KIF15,1
RTN4RL1,PRMT6,0
IFNGR2,MARCO,1
DYRK1A,OR52E6,0
SLC40A1,ASIC5,0
PRKG2,LRWD1,0
CHD1,NRF1,1
SUPT4H1,SMARCA5,1
CNTFR,DOC2A,1
TSTD1,RAB11A,0
ARMC4,SEC61G,0
TMEM33,IDH2,0
FGF13,GHRH,1
SEPT4,CXCR1,0
VPS50,FGA,0
IL15,GTPBP1,1
SLC16A10,SCOC,0
PARP3,ACVRL1,0
FUT4,ALG1,1
EP300,PCDHAC2,1
DAB2,PTCH1,1
TRMT61A,SYN3,0
NDRG1,ARSH,0
MTHFD1,CRMP1,0
CCL13,TNFSF9,1
ALDH2,CEP68,0
CATSPERD,ARHGAP23,0
AGPS,PTP4A3,0
CWC22,CLEC4C,0
SIAH3,GALNT5,0
B4GALNT2,ZMAT5,0
TJP1,BRINP1,0
ATF6,UHRF1,1
RPF2,CLPS,0
KLHL41,ZNF354A,0
PCSK6,PRSS2,1
CDCA5,KIF11,1
WFDC2,NR6A1,1
ASAH1,CLCF1,0
TAAR6,SST,1
INSL4,NELFA,1
EMP3,UMOD,1
TAS2R40,RAB5C,0
TRAM1,CDK2,0
GTF2H2,MPP7,0
HLA-DOB,PRDX4,0
PANX1,GPR17,0
NEU3,SLC5A2,1
CXCR2,S100A8,1
BLK,MMP21,0
NDUFC1,FKTN,0
MTOR,GML,1
KLK14,CXCL2,0
SRI,SLC25A12,1
VTI1B,TARS2,0
GPR19,PDGFB,0
DNAJC9,RNF216,0
FGF13,L1CAM,1
OR10P1,WASH1,0
CNTFR,NEURL1,1
HOXC5,BUD31,1
ARHGAP35,CREBZF,1
FXN,SDHC,1
CXCR3,AVPR1B,1
CRH,GRIA1,1
MNT,NFIX,1
QSOX1,HDAC9,1
F2R,SCG2,1
NEDD9,SIX2,0
TIMM13,OR8H1,0
LRRC26,MOBP,0
STX10,HDAC6,0
MYO7A,RABGGTB,1
MYB,RNF187,0
IL15,NCF4,1
FYN,MARK1,1
STAG2,MYL6,0
ASPM,KLF12,0
POLR2E,NOB1,0
TAS2R19,SLC47A2,0
OGDH,ETHE1,0
GCGR,RUNX1T1,1
RPL26,RRBP1,1
POU2F3,POLE4,0
CCL23,CALR,1
MRPS31,BRK1,0
GCG,CBFA2T3,1
XIRP1,CARD10,0
TCF19,CBFA2T2,1
MRPS18B,TTLL8,0
OR51A2,MRPS7,0
MRE11A,CABIN1,0
SLC6A1,HOMER1,1
GAD2,MBP,1
NDOR1,CNOT2,0
PDGFRA,ARHGEF1,1
MRPS26,GPHA2,0
FBN2,PHLDA3,1
VCAN,LOXL2,1
BUB1B,EVI5,1
PTRF,NAT2,0
NGB,AOC1,0
GPR17,TLR6,0
IFITM2,ACKR4,1
TFAP2A,BUD31,1
ANXA1,HRAS,1
GNRHR2,SMARCA5,0
CKAP4,ESRRG,0
POU6F2,RDH5,1
RPS4X,ZPR1,1
NHLH2,PTPRZ1,1
WBP4,CHMP4B,0
DGKK,PYHIN1,0
CYR61,CTNNBIP1,1
CDY1B,COX6C,0
ERCC2,NFRKB,1
CDK6,MKI67,1
RHOG,NAP1L1,1
SKA1,WDR5,0
SSTR2,ADAM17,1
PLA2G2E,IL10RB,1
GABARAPL2,OR6Q1,0
ARFIP2,ACTG1,1
USP33,ITGB7,0
CXCR2,CCL25,1
PPM1A,SLC20A1,1
PFN2,KRT83,0
DAXX,PPARD,1
EDN2,PTPRG,1
NRF1,ACO2,1
AK5,RNASEL,0
KCNF1,KCNH1,1
SIGLEC7,RABGGTA,0
MAEA,POMT1,1
KLK3,VPS36,0
ARG1,GNAI1,0
TWISTNB,PDGFB,0
INSM1,CROT,0
AP3M1,TEX10,0
MMP21,FOXF1,0
CCL2,COL18A1,1
AVP,SIRPG,1
WASF3,HMGA1,1
ALK,CBLN1,1
NAPEPLD,MAP3K3,0
GNG2,KLRC3,0
EDAR,AGRN,0
SPA17,ARG1,0
SREBF2,STAT6,1
ADD3,SMARCD1,0
LIAS,MPP7,0
AMH,GRB10,1
IL31RA,EVI5L,0
SYK,TRAF1,1
EEF1D,PCDH1,0
FOXD3,SNTG2,0
GDF11,TIE1,1
MACF1,GPNMB,0
MED1,SLC35D1,0
GATA3,SNAPC3,1
MCL1,FZD6,1
MEF2C,SOD1,1
MTBP,PLD6,0
FCGR2B,TNFRSF4,1
STAMBP,DDX11,1
DNAJC4,OR7C2,0
INSL3,AVP,1
STK26,NAE1,1
EFNB1,VWF,1
PLN,ANP32B,0
TSSK4,OR52B2,0
LMO1,RPS27,1
GPR1,CD3E,1
DLG4,STK16,1
NUP62,TNFRSF9,1
KPTN,ANXA1,1
TNFRSF6B,RNF7,1
KCNN3,PCDHB6,1
NR2E3,CRYBA1,1
F2R,CAPZA1,1
NFASC,CEBPB,0
CLEC4C,TFPI,0
PLA2G3,MMP1,0
ING2,ZFHX3,1
FSHR,GCG,1
GATA3,CAMLG,1
CHRM4,CLCN3,0
FANCI,GPSM2,0
PITX3,SLC5A9,0
KRTAP21-3,ARL2BP,0
PTGDR2,CIITA,1
MIR148A,IFRD1,0
ADH5,IPO8,0
SLC38A9,KDM3A,0
TRIM13,OR8D4,0
CTRL,CASP8,1
CEBPB,POLR2F,1
CCT6B,PIN4,1
MS4A2,GPR50,1
DTX1,HLA-DPA1,0
ASS1,HOXC11,0
TGOLN2,THEG,0
HEXA,ANKRD9,0
ASMT,RPL7A,1
UBE2V2,BCAR3,1
EHF,TGIF1,1
AR,ABCB11,1
MATK,CLEC11A,1
YKT6,SDS,0
VPREB1,CTSV,0
FGF20,SSTR1,1
KRT18,KRT35,1
APBA1,VTN,1
MKS1,ZNF513,0
PCSK2,TFAP2C,1
SLC39A1,MAP3K1,0
ATP2A2,KDM1A,0
DPP3,FBXO6,1
TGIF1,DLK1,1
HOXC6,CDK13,1
TDGF1,CUL3,1
OR5C1,GP2,0
HCRTR1,UNC119,1
ROBO1,MAGI1,1
CRNN,TPPP,0
OR2M5,CLSPN,0
DENND5A,LYZL6,0
ZNF256,IGF2,1
OR51D1,SLC39A6,0
FOXRED1,ABCA2,0
TAS2R7,GRIN1,0
TACR1,TACR3,1
NNT,NANOS3,0
POLR2J,HAND1,1
SMARCAL1,TARBP1,1
GDF10,CLEC3B,1
APC,PCDHB3,1
MGLL,MRPS17,0
AKAP3,EFNB3,0
TCF12,MED23,1
EPAS1,POLR2L,1
FLT1,PTHLH,1
TAAR9,PIK3CB,1
PACRG,RIPK3,0
DGKK,ADAT3,0
PEPD,CASP8,1
TCF4,TFAP2B,1
INTS10,IPMK,0
PMF1,NFE2L1,0
ARR3,RPGR,1
SMNDC1,MS4A2,0
TIMM44,QARS,0
OSTM1,DLL4,0
MITD1,RAPGEF3,0
ADRA2C,TEK,1
CRYGD,RRP7A,0
AKT1,GCG,1
NUDCD3,KCNC4,0
YAP1,IFT74,0
BPNT1,SLIT2,1
EDN3,CXCL10,1
GJB5,KRT9,1
ELF5,OSMR,1
MAPRE1,ANAPC5,1
ARIH2,ARHGDIB,1
IL1RAPL2,NHLH2,1
SLC44A3,DHCR7,0
VIM,DNALI1,1
LPAR4,CXCR4,1
MIS18BP1,PLA2G16,0
CHST4,GRAP,1
CYP1B1,RPGR,1
ADRB2,GRM4,1
PLA2G2D,PLAA,1
ADD3,NDST1,0
RARRES1,UMOD,1
SCRT1,PAIP1,0
IGKV2-40,SDHAF2,0
B4GALNT1,OR5B3,0
PSIP1,IGLV1-51,0
PLIN3,BCL2L1,0
ASF1A,RARS,0
FLRT1,DCAF16,0
UNC5D,OR6Y1,0
KCTD7,RABGGTB,0
ABCA12,CCDC91,0
ITGB3BP,DGCR6,1
SYNCRIP,LSM1,1
DKK2,POLR2D,0
DYNC1I1,CHRNA7,0
CSF1R,LGI1,1
ITGA9,ATP2A2,1
ALDH3A1,OR52A5,0
SLC6A14,CDK12,0
XRRA1,STK38,0
USP39,KHSRP,1
KRT6C,TRIM35,0
GAK,NFRKB,0
TTC7B,NOX4,0
GYG1,CTTN,0
COL17A1,CSRP2BP,0
SPTSSB,PPP2R1A,0
SNX8,OR56A3,0
MYL1,EPB41,0
DNAJB2,HSPA6,1
NCF4,CYP4F11,1
MLNR,GPSM2,1
TENM1,CCL27,1
SUFU,BMP1,1
VTI1B,IL15RA,1
PSG3,POLG2,0
HLCS,BRD1,0
FPR2,FOSL1,1
QSOX1,VHL,1
ABCB7,HMGN1,0
GSTM1,UBR2,0
MID1,KARS,0
INSL4,TACSTD2,1
CDK3,TRIM27,1
OR10G2,PMVK,0
EFNB1,ARF6,1
RAX,IMPG2,1
PPBP,SLC2A1,1
RFX1,GTPBP1,1
SGK2,TRH,0
FAP,FAH,0
HBE1,HSD17B2,0
OR4K3,LAMA1,0
FABP1,RAMP1,0
SLC25A4,GRAP,0
HOXA10,SUFU,1
HTR1B,KCNQ3,1
TMC2,ICT1,0
CYP3A4,MIR514A1,0
GUK1,RHOT1,0
MTCP1,IFITM1,1
ARL5A,F3,0
MRPL21,SELP,0
ST6GALNAC2,ATP2B2,0
PPIH,FAS,1
METTL16,TBC1D8,0
VIPR1,CHRM3,0
CIDEB,IKBKG,1
NLK,ASB15,0
ELF2,RUVBL1,1
FMO2,RGS2,0
ACOX3,WASH1,0
ADGRG1,TNFSF8,1
KHDRBS1,PLN,0
FKTN,ITM2B,1
IL6ST,RGS1,1
MRE11A,VPS33B,0
NR5A1,FGF20,1
ALKBH5,HPCA,0
CPSF4,COL25A1,0
EPAS1,FEV,1
IFT43,PPP3R1,0
KPNA3,TP53RK,0
CXCL6,SSTR3,1
FMR1,SEPT11,0
HSPA6,ABCB8,0
POU6F2,RABGGTB,1
HYOU1,CGRRF1,1
SURF1,FREM1,0
GHRHR,HOXD13,1
TSTD1,KRTAP24-1,0
HTATIP2,SMARCA2,1
ITGB6,KLK3,0
RRH,BEST1,1
IFNL1,ADGRB1,1
GPR75,ACKR4,1
AKR1D1,TFF2,1
COL26A1,MRPS26,0
FBXO7,SIAH2,1
HLA-DMB,MIR219A2,0
NRN1L,AVPR1B,0
CHST4,TNFSF10,1
KRTAP5-10,P4HB,0
SLC6A8,SLMAP,1
GABBR1,RASA4,0
NCK2,CCR8,0
GABRA4,PBX3,0
LRRC6,SLC7A8,0
FCER1A,LOXHD1,0
TARDBP,BMP6,0
AK2,UBE2F,0
AKR1C1,FOXL2,0
MGLL,FPR2,1
CHRNA4,GAR1,0
TBC1D8,SSR1,1
GATA3,MLF2,1
MIR301B,KCNJ12,0
TRMT61B,OR52R1,0
SNU13,TCF19,1
CAD,DLG4,0
POU5F1,RARB,1
ZFP36L2,USP8,1
IGLL1,MIR16-2,0
BPNT1,POU4F2,1
LILRB2,D2HGDH,0
OXTR,SCN7A,1
MLF2,CAMLG,1
IFT43,SLC25A38,0
CA1,DDC,0
HNF4A,SOX12,1
PAX1,POLR2I,1
HLA-A,MIR106B,0
MYL6B,ARHGAP1,0
RHOH,NLRP12,1
NOX4,CCL23,1
CTSS,CD7,1
FOSL1,FCMR,1
AADAC,SFTPA2,0
CDK6,GAB1,1
COL9A1,S100A14,0
ETS1,RARRES3,1
IFNL1,KAT8,1
PLCE1,AVPR1A,1
ESCO2,PLCG1,0
FCHO2,MIR29B2,0
RS1,TP53,1
ANG,CYP1A2,0
